* This data was exported from the Dayton Audio Test System: DATS
*
* Piston Diameter = 63 mm
* f(s)= 95.55 Hz
* R(e)= 4.121 Ohms
* Z(max)= 21.75 Ohms
* Q(ms)= 2.087
* Q(es)= 0.4878
* Q(ts)= 0.3954
* V(as)= 1.456 liters     (0.05143 cubic feet)
* L(e)= 0.2821 mH
* n(0)= 0.2483 %
* SPL= 86.05 1W/1m
* M(ms)= 2.6 grams
* C(ms)= 1.067 mm/N
* BL= 3.631 
* K(r)= 0.9371 
* X(r)= 0.1783 
* K(i)= 0.006046 
* X(i)= 0.5571 
*
*
Freq            Impedance       Phase
117.377    	16.878    	-31.668    
120.816    	15.965    	-34.119    
124.356    	15.010    	-36.229    
128.000    	14.198    	-37.802    
131.751    	13.422    	-39.265    
135.611    	12.639    	-40.467    
139.585    	12.011    	-41.138    
143.675    	11.393    	-41.750    
147.885    	10.853    	-42.269    
152.219    	10.346    	-42.512    
156.679    	9.848    	-42.486    
161.270    	9.428    	-42.405    
165.995    	9.042    	-42.231    
170.860    	8.687    	-41.993    
175.866    	8.345    	-41.722    
181.019    	8.069    	-41.283    
186.324    	7.784    	-40.683    
191.783    	7.469    	-40.048    
197.403    	7.220    	-39.507    
203.187    	7.016    	-38.894    
209.141    	6.801    	-38.041    
215.269    	6.588    	-37.249    
221.577    	6.405    	-36.547    
228.070    	6.242    	-35.761    
234.753    	6.098    	-34.823    
241.632    	5.946    	-33.856    
248.712    	5.809    	-32.981    
256.000    	5.697    	-32.016    
263.501    	5.591    	-31.069    
271.223    	5.488    	-30.107    
279.170    	5.403    	-29.350    
287.350    	5.308    	-28.359    
295.770    	5.224    	-27.477    
304.437    	5.153    	-26.536    
313.358    	5.089    	-25.638    
322.540    	5.026    	-24.794    
331.991    	4.968    	-23.987    
341.719    	4.906    	-23.175    
351.732    	4.849    	-22.295    
362.039    	4.803    	-21.501    
372.647    	4.755    	-20.693    
383.567    	4.711    	-19.853    
394.806    	4.671    	-19.030    
406.375    	4.635    	-18.238    
418.282    	4.598    	-17.447    
430.539    	4.564    	-16.591    
443.155    	4.535    	-15.755    
456.140    	4.510    	-14.988    
469.506    	4.486    	-14.247    
483.264    	4.465    	-13.467    
497.424    	4.447    	-12.695    
512.000    	4.433    	-11.942    
527.003    	4.418    	-11.180    
542.445    	4.405    	-10.435    
558.340    	4.393    	-9.713    
574.701    	4.385    	-8.994    
591.541    	4.378    	-8.298    
608.874    	4.372    	-7.621    
626.715    	4.369    	-6.937    
645.080    	4.367    	-6.277    
663.982    	4.366    	-5.613    
683.438    	4.367    	-4.970    
703.464    	4.370    	-4.348    
724.077    	4.374    	-3.740    
745.294    	4.378    	-3.142    
767.133    	4.384    	-2.542    
789.612    	4.390    	-1.953    
812.749    	4.399    	-1.374    
836.565    	4.408    	-0.812    
861.078    	4.417    	-0.258    
886.309    	4.428    	0.291    
912.280    	4.440    	0.833    
939.012    	4.455    	1.352    
966.527    	4.470    	1.859    
994.849    	4.484    	2.344    
1024.000    	4.499    	2.825    
1054.005    	4.515    	3.320    
1084.890    	4.531    	3.819    
1116.680    	4.549    	4.293    
1149.401    	4.568    	4.748    
1183.081    	4.588    	5.189    
1217.748    	4.609    	5.613    
1253.431    	4.630    	6.050    
1290.159    	4.651    	6.494    
1327.964    	4.673    	6.928    
1366.876    	4.696    	7.330    
1406.929    	4.720    	7.729    
1448.155    	4.745    	8.142    
1490.589    	4.773    	8.554    
1534.266    	4.803    	8.911    
1579.224    	4.830    	9.247    
1625.499    	4.855    	9.593    
1673.129    	4.882    	9.958    
1722.156    	4.911    	10.320    
1772.619    	4.942    	10.674    
1824.561    	4.973    	11.020    
1878.024    	5.005    	11.342    
1933.055    	5.037    	11.655    
1989.697    	5.070    	11.972    
2048.000    	5.105    	12.290    
2108.011    	5.142    	12.588    
2169.780    	5.179    	12.861    
2233.360    	5.216    	13.115    
2298.802    	5.255    	13.361    
2366.162    	5.296    	13.549    
2435.496    	5.331    	13.691    
2506.862    	5.359    	13.855    
2580.318    	5.386    	14.068    
2655.927    	5.412    	14.310    
2733.752    	5.440    	14.596    
2813.857    	5.473    	14.906    
2896.309    	5.511    	15.203    
2981.178    	5.551    	15.473    
3068.533    	5.592    	15.732    
3158.448    	5.634    	15.994    
3250.997    	5.680    	16.258    
3346.259    	5.727    	16.465    
3444.312    	5.773    	16.628    
3545.238    	5.815    	16.819    
3649.121    	5.860    	17.051    
3756.049    	5.910    	17.283    
3866.109    	5.968    	17.468    
3979.395    	6.032    	17.566    
4096.000    	6.094    	17.560    
4216.022    	6.146    	17.460    
4339.561    	6.184    	17.314    
4466.720    	6.209    	17.209    
4597.605    	6.224    	17.183    
4732.325    	6.233    	17.253    
4870.992    	6.244    	17.429    
5013.723    	6.263    	17.694    
5160.637    	6.291    	17.979    
5311.855    	6.327    	18.250    
5467.504    	6.366    	18.497    
5627.714    	6.406    	18.733    
5792.619    	6.446    	18.955    
5962.355    	6.486    	19.171    
6137.066    	6.528    	19.386    
6316.896    	6.570    	19.598    
6501.995    	6.611    	19.800    
6692.518    	6.655    	20.008    
6888.623    	6.697    	20.210    
7090.476    	6.741    	20.416    
7298.242    	6.786    	20.621    
7512.097    	6.831    	20.835    
7732.218    	6.877    	21.045    
7958.790    	6.923    	21.256    
8192.000    	6.969    	21.471    
8432.044    	7.016    	21.688    
8679.122    	7.064    	21.909    
8933.439    	7.114    	22.131    
9195.209    	7.164    	22.359    
9464.649    	7.215    	22.585    
9741.985    	7.269    	22.804    
10027.447    	7.321    	23.030    
10321.273    	7.374    	23.263    
10623.710    	7.429    	23.498    
10935.008    	7.487    	23.716    
11255.428    	7.548    	23.915    
11585.238    	7.607    	24.093    
11924.711    	7.661    	24.236    
12274.132    	7.707    	24.384    
12633.791    	7.747    	24.584    
13003.989    	7.788    	24.864    
13385.035    	7.834    	25.195    
13777.247    	7.886    	25.536    
14180.951    	7.943    	25.866    
14596.485    	8.004    	26.197    
15024.194    	8.067    	26.533    
15464.437    	8.135    	26.866    
15917.579    	8.204    	27.184    
16384.000    	8.273    	27.490    
16864.088    	8.341    	27.794    
17358.243    	8.410    	28.109    
17866.879    	8.479    	28.446    
18390.418    	8.550    	28.805    
18929.299    	8.623    	29.202    
19483.969    	8.708    	29.634    
20054.893    	8.812    	30.086    
20642.546    	8.924    	30.368    
