Name of the Part,Quantity,Individual Price,Total Price,Status,Link
Breakable Header Pins,1,2.62,2.62,Owned,https://www.aliexpress.us/item/3256810262146599.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.1.6a2buGL5uGL56g&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=17882459-636c-4d1b-ba80-e675fbb7dd1e&_t=gps-id%3ApcDetailTopMoreOtherSeller%2Cscm-url%3A1007.40050.354490.0%2Cpvid%3A17882459-636c-4d1b-ba80-e675fbb7dd1e%2Ctpp_buckets%3A668%232846%238113%231998&pdp_ext_f=%7B%22order%22%3A%22249%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%2C%22fromPage%22%3A%22recommend%22%7D&pdp_npi=6%40dis%21USD%215.21%210.99%21%21%2135.26%216.74%21%402103126e17826634671373377e7fad%2112000052444952324%21rec%21US%217848567536%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ac17d741f%3Bm03_new_user%3A-29895%3BpisId%3A5000000207262906&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A1005010448461351%7C_p_origin_prod%3A
,,,,,
Samsung 35E 18650 3500mAh 8A Battery,4,4.99,19.96,Not Owned,https://www.18650batterystore.com/products/samsung-35e-18650-3500mah-8a-battery?_pos=1&_sid=3638ce35d&_ss=r
HiLetgo 14.8V 4S 30A 18650 Li-ion ,1,7.49,7.49,Not Owned,https://www.amazon.com/HiLetgo-Lithium-Integrated-Circuits-Protection/dp/B07X28845M
IP2368 Bidirectional 100w Fast Charging Module Buck-Boost Type-c Interface 4S Lithium Battery High-Power Fast Charging Board,1,19.99,19.99,Owned,https://www.newegg.com/p/2TP-005G-00EP0
1 Pack DC to DC 5A Adjustable Buck Regulator,1,5.99,5.99,Not Owned,https://www.amazon.com/NOYITO-Adjustable-Regulator-Supply-Module/dp/B07G446KHJ/ref=sr_1_7?dib=eyJ2IjoiMSJ9.8FBZTM_mhtZ2x7lAj-ygxtRQ4gVXwbapv8_6IpJSAa3145XUfw56iudA5NaG7pQVCs2zPIgUFyv0avxF4eafVjgsDHMT_PpoElgoLwCRQTxTJKuRvFn1gvUrIvbU8CkVso1T_zJ3hE-7v0mFKnMQTQOrfAGe4qcWq2x-KealrwLTX-AD_joKqBgPRJ7AaFR08bz7DgIBiPmOC8ZqhouDnOBB1Q20-fkJYHLG4ohlAcehactKQ4zupJb3QS0q7JDE_U7VBB8aDueMZK8si6KG4eCNO0oRVyucMVCFnLtxBh0.OufE9QyKNu9l9_wQi4Zroe2uNTzlwCCcGiVbJcGzdjk&dib_tag=se&keywords=5A+DC-DC+Buck+converter&qid=1782666166&s=industrial&sr=1-7
"Single 22AWG Short Micro USB Pigtail 2 Wire Power Cable,0.3M/1FT 5V 3A Micro USB Male 2 Pin Bare Wire Open End",2,4.99,9.98,Not Owned,https://www.amazon.com/EAHOSUCC-Single-Pigtail-Extension-Connectors/dp/B0DG61VZ4H/ref=sr_1_8?dib=eyJ2IjoiMSJ9.SVwKnbZ_Y0LjsPoliYZtDI7rPETjcom6wSx-_RDbquCI72dCCo26o95jZdLDXWOc5j0tRqvfzSWrVI6Je1w3Y2CkxI7rYJSEcndbwseFdLvAPWvBvLCHEUU3bpzO08fLqQJAVESSV47XVWgRO5AjlsFqaexae7YdmBu5oxgvPd7Yis8RtmvGS2Dss-sQ-wPD6btpiUZPfIjm_BPr-IxsFdefDjYUbsTMgXvK2O1Pp0I.wH4Qv90O0rFBGF12QghzA5zJNaBDOR5ir0dQYfYAbPc&dib_tag=se&keywords=micro%2Busb%2Bpigtail%2Bbare%2Bwire%2Bpower&qid=1781505809&sr=8-8&th=1
"SPST rocker switch, 10A, panel mount, DC-rated",1,5.99,5.99,Not Owned,https://www.amazon.com/ZUPAYIPA-Solder-Rocker-Switch-Toggle/dp/B01N2U8PK0/ref=sr_1_3?crid=3JW0QR2B5TLYQ&dib=eyJ2IjoiMSJ9.XUr3gk0nVdTx2rOftBUf46Nhqu5TSM6glEQIU4qyXvjp7BVvUdl7EPNAeehDsO6s0RbabGfcCRHPys4Fx0ChF0vRCPJ7xMmgtFAyWW8q4CECqaaACG7LxeJg6dtCwhbjUTRGNzb1qBtyDloflqd6DxIYhfbs8KW_Wm8YSF8cr1ZMdmg4VdjFpfM124LCME0Cd3ZS1kiY9Yj2d_tkvZgQFzukuJ2l1Zlhveyo6bRYE7Y.p1gW4aWUk3SyC_7945Lw0WUdMC_9ecxkCldi-H4kxzQ&dib_tag=se&keywords=SPST+rocker+switch%2C+10A%2C+panel+mount%2C+DC-rated&qid=1781506007&sprefix=spst+rocker+switch%2C+10a%2C+panel+mount%2C+dc-rated%2Caps%2C166&sr=8-3
"PVC heat-shrink battery wrap, 85–100mm flat ",1,1.31,1.31,Owned,https://www.aliexpress.us/item/3256806945110023.html?spm=a2g0o.productlist.main.1.54cfdbf1TvzDEj&algo_pvid=2cad4885-ae0f-49c7-8a2e-d29cdbddbf02&algo_exp_id=2cad4885-ae0f-49c7-8a2e-d29cdbddbf02-0&pdp_ext_f=%7B%22order%22%3A%228836%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.41%211.39%21%21%211.41%211.39%21%402101d6ff17831333068703644e9d88%2112000039509409535%21sea%21US%217848567536%21X%211%210%21n_tag%3A-29911%3Bd%3A548d1a24%3Bm03_new_user%3A-29895&curPageLogUid=nOy8J3vOjCuD&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007131424775%7C_p_origin_prod%3A
Inline ATO blade fuse holder 14 AWG 12V,1,5.09,5.09,Not Owned,https://www.amazon.com/Waterproof-Standard-Automotive-Lighting-Electrical/dp/B0D9JDD2LY/ref=sr_1_9?dib=eyJ2IjoiMSJ9.sONmDk_8Bty4ZUY-nZe4_K5tWJj--RmfFQ0EAGYKnUdy1CGIIV_3LyJvUiqh1KI5-ZRUVhETej5gdiW1E9yU4TlUv-m-1-_XB16nakyzoCvyICZSlT2cBYVs2-h47tUyh4Mmn17x7mLhkMNpHewFcsyxf9BOeLOj-mLbPA4z12Ji6hYAa1BwCTx1-wKxTowfIdtmntH8HQOmvTXfy1QPzmfcnwyIvUOUnGzWUX-mlQA.tqJ0-Ep0ramml7eEGtXgj7qMVq0DBVcbS5p2Ukc3uuY&dib_tag=se&keywords=inline%2BATO%2Bblade%2Bfuse%2Bholder%2B14%2BAWG&qid=1781506523&sr=8-9&th=1
